company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,cash_from_operations_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,revenue_cagr_5yr,pat_cagr_5yr,eps_cagr_5yr,composite_quality_score,roce_percentage,roe_percentage,broad_sector,computed_roce,high_leverage_suppressed
ABB,Mar 2024,20.533424517011454,24.84185330825782,32.46823465801568,0.022438496891051634,141.75,1.1263238975544,797.0,416.0,1213.0,565.0,1657.0,73.0,83.0,9.72,21.69,21.66,18.042661024193844,46.0,34.9,Industrials,44.97620306716023,False
ABB,TTM,21.183646554566433,25.502802505769868,,,164.72727272727272,,,,,605.0,1657.0,,,9.72,21.69,21.66,7.061215518188811,46.0,34.9,Industrials,,False
ADANIENSOL,Mar 2014,,,0.0,0.0,,,0.0,0.0,0.0,0.0,175.0,,0.0,17.85,16.43,14.87,0.0,9.0,8.59,Energy,0.0,False
ADANIENSOL,Mar 2015,-5.343511450381679,77.09923664122137,-0.6463527239150507,8.95752539242844,1.4246575342465753,0.011399234249912982,-1899.0,1864.0,-35.0,0.0,175.0,0.0,9701.0,17.85,16.43,14.87,-1.9928216466822724,9.0,8.59,Energy,0.9643916913946587,False
ADANIENSOL,Mar 2016,16.773017319963536,87.83044667274385,13.77245508982036,3.2129491017964074,2.0867293625914316,0.18678699131619275,728.0,816.0,1544.0,3.0,175.0,0.0,8585.0,17.85,16.43,14.87,10.244086467033364,9.0,8.59,Energy,17.740072843564008,False
ADANIENSOL,Mar 2017,14.464534075104313,68.94993045897078,14.116050220563285,3.045469969460468,2.2179203539823007,0.22449457497463118,459.0,1730.0,2189.0,4.0,175.0,0.0,8975.0,17.85,16.43,14.87,9.601692956880743,9.0,8.59,Energy,16.817648045629927,False
ADANIENSOL,Mar 2018,28.98073022312373,71.65314401622717,18.87072808320951,1.7216443784051512,3.31489841986456,0.22843903851723138,-994.0,3192.0,2198.0,10.0,175.0,0.0,10428.0,17.85,16.43,14.87,16.02663244828349,9.0,8.59,Energy,17.81619654231119,False
ADANIENSOL,Mar 2019,7.652292950034223,38.02874743326489,6.950142981474575,2.50366778565212,2.2386772106398274,0.2243688187235088,-459.0,3050.0,2591.0,5.0,175.0,0.0,20137.0,17.85,16.43,14.87,4.9422682500774355,9.0,8.59,Energy,11.050390347764372,False
ADANIENSOL,Mar 2020,6.184302733006307,37.29852838121934,8.30685963054477,2.8528062124955875,2.019213583556747,0.2874770214801944,-206.0,5643.0,5437.0,7.0,175.0,0.0,24246.0,17.85,16.43,14.87,4.926213128343757,9.0,8.59,Energy,13.800580241258206,False
ADANIENSOL,Mar 2021,12.996171670360667,39.79447914567802,14.46350487722839,3.0378966251821953,2.3925366084081245,0.22958782439746495,-225.0,4009.0,3784.0,11.0,175.0,0.0,27095.0,17.85,16.43,14.87,9.229754790662174,9.0,8.59,Energy,14.06397512078636,False
ADANIENSOL,Mar 2022,10.978859477704743,37.360099484810796,12.46847573892868,3.016443054574801,2.3221987315010573,0.23719029158941513,161.0,3936.0,4097.0,11.0,175.0,0.0,29902.0,17.85,16.43,14.87,7.894841836074279,9.0,8.59,Energy,13.79379630792415,False
ADANIENSOL,Mar 2023,9.636650868878357,33.98781313473256,10.90305557919823,2.916843986722274,2.193815174397699,0.24647704516798932,-922.0,4699.0,3777.0,11.0,175.0,0.0,34270.0,17.85,16.43,14.87,6.928727831081525,9.0,8.59,Energy,13.257567526456462,False
ADANIENSOL,Mar 2024,7.201782380923707,34.38911302462817,9.461276797721698,2.93252116130053,2.284784965666787,0.2836960606785336,1095.0,4943.0,6038.0,10.0,175.0,0.0,37070.0,17.85,16.43,14.87,5.648918413107979,9.0,8.59,Energy,12.71750719156726,False
ADANIENSOL,TTM,2.665278971899181,29.829404045431918,,,1.8058435438265787,,,,,6.0,175.0,,,17.85,16.43,14.87,0.8884263239663936,9.0,8.59,Energy,,False
ADANIENT,Mar 2013,2.6264150943396225,12.983288409703503,5.692652832305104,3.240418769863526,2.2325315005727377,0.41453996120531683,-7124.0,14790.0,7666.0,15.0,363.0,10.0,69332.0,19.02,45.81,31.95,2.911202629283348,11.6,13.64,Industrials,8.592716691649766,False
ADANIENT,Mar 2014,4.815549529546654,17.07645549347553,11.1377699204445,3.0298438355011155,1.84815009644047,0.4652503767929417,221.0,8007.0,8228.0,20.0,363.0,7.0,71980.0,19.02,45.81,31.95,5.472856608928033,11.6,13.64,Industrials,11.009327637172671,False
ADANIENT,Mar 2015,3.564725044597844,19.312805398278137,8.931902985074627,3.248250932835821,1.876700680272109,0.4931608500742055,-2933.0,11465.0,8532.0,18.0,363.0,8.0,83571.0,19.02,45.81,31.95,4.329929626582226,11.6,13.64,Industrials,12.11538989377762,False
ADANIENT,Mar 2016,2.9404845918607387,4.951776052693484,7.4749588877261175,1.4328748691882194,2.0103168754605747,0.8159504786583172,3287.0,1825.0,5112.0,9.0,363.0,4.0,19169.0,19.02,45.81,31.95,3.743797986081724,11.6,13.64,Industrials,8.381724890158846,False
ADANIENT,Mar 2017,2.5319574083705145,5.206251881860236,6.543576683644596,1.4746745897000566,2.1089896579156724,0.7673226775325029,-686.0,1460.0,774.0,9.0,363.0,4.0,20846.0,19.02,45.81,31.95,3.2809522565158713,11.6,13.64,Industrials,7.5781830655765825,False
ADANIENT,Mar 2018,1.653490702594366,5.673087629439929,3.936642587315263,1.1688647359003248,1.9208,0.6368938923854268,-4707.0,7649.0,2942.0,7.0,363.0,6.0,17637.0,19.02,45.81,31.95,2.075675727431685,11.6,13.64,Industrials,7.3366742039968225,False
ADANIENT,Mar 2019,1.2531266252259838,4.876297085118502,3.429113580916238,0.7619273515857956,1.5218461538461538,0.9492900131653188,5723.0,2487.0,3236.0,7.0,363.0,6.0,11243.0,19.02,45.81,31.95,1.8771767397691803,11.6,13.64,Industrials,9.511904304011692,False
ADANIENT,Mar 2020,2.3961477317236133,5.285348939013432,6.136779370980115,0.7328140673865581,2.013994910941476,0.9259306666666667,1372.0,1082.0,2454.0,10.0,363.0,10.0,12419.0,19.02,45.81,31.95,3.152952589790131,11.6,13.64,Industrials,10.781175509092147,False
ADANIENT,Mar 2021,2.645623087234742,6.338366593317652,6.0959263360335685,0.9456844804475786,2.178649237472767,0.7659685762442606,-4568.0,8611.0,4043.0,8.0,363.0,12.0,16227.0,19.02,45.81,31.95,3.16917266650419,11.6,13.64,Industrials,8.985802432157191,False
ADANIENT,Mar 2022,1.135119562085854,5.3500432152117545,3.5404591813811384,1.8692546165251382,1.870942201108472,0.6833618805740949,-15656.0,17041.0,1385.0,7.0,363.0,14.0,41604.0,19.02,45.81,31.95,1.7863135413470292,11.6,13.64,Industrials,7.400447847669156,False
