company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,cash_from_operations_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,revenue_cagr_5yr,pat_cagr_5yr,eps_cagr_5yr,return_on_capital_employed_pct,cfo_pat_ratio,fcf_positive_flag,composite_quality_score
ABB,Dec 2012,8.771929824561402,12.220205686630369,34.9,0.0,,1.822491730981257,42.0,59.0,101.0,68.0,1657.0,25.0,0.0,9.72,21.69,21.66,46.0,0.696551724137931,1,67.01
ABB,Mar 2014,8.699472759226714,11.731107205623902,34.9,0.0,,1.9982440737489024,11.0,144.0,155.0,93.0,1657.0,25.0,0.0,9.72,21.69,21.66,46.0,0.7828282828282829,1,67.2
ABB,Mar 2015,10.004368719965049,13.630406290956751,34.9,0.0,,1.665938864628821,28.0,187.0,215.0,108.0,1657.0,29.0,0.0,9.72,21.69,21.66,46.0,0.9388646288209607,1,68.26
ABB,Mar 2016,9.755164498852334,13.963274674827849,34.9,0.0,138.33333333333334,1.6175742574257426,172.0,77.0,249.0,120.0,1657.0,29.0,0.0,9.72,21.69,21.66,46.0,0.9764705882352941,1,68.54
ABB,Mar 2017,9.541853255253187,13.709955218739237,34.9,0.0,227.5,1.40513068731849,152.0,155.0,307.0,130.0,1657.0,31.0,0.0,9.72,21.69,21.66,46.0,1.108303249097473,1,70.51
ABB,Mar 2018,12.15888417222559,15.918738629472406,34.9,0.0,160.5,1.365066225165563,-62.0,215.0,153.0,189.0,1657.0,29.0,0.0,9.72,21.69,21.66,46.0,0.38154613466334164,0,62.6
ABB,Mar 2019,12.231584669747214,16.444686055993476,34.9,0.0,359.0,1.2509350561033663,242.0,257.0,499.0,212.0,1657.0,31.0,0.0,9.72,21.69,21.66,46.0,1.1088888888888888,1,72.53
ABB,Mar 2020,14.488150500855118,18.49499144881505,34.9,0.07198683669271905,96.77777777777777,1.153932901043135,225.0,401.0,626.0,279.0,1657.0,90.0,175.0,9.72,21.69,21.66,46.0,1.0556492411467115,1,69.6
ABB,Mar 2021,16.03248259860789,21.392111368909514,34.9,0.058800922367409685,55.72222222222222,1.1223958333333333,655.0,72.0,727.0,325.0,1657.0,85.0,153.0,9.72,21.69,21.66,46.0,1.0520984081041969,1,70.18
ABB,Mar 2022,16.26297577854671,22.023203745165887,34.9,0.05390070921985816,61.31578947368421,1.1631155303030303,552.0,396.0,948.0,376.0,1657.0,73.0,152.0,9.72,21.69,21.66,46.0,1.1864831038798498,1,70.68
ABB,Mar 2023,17.74163395027108,22.546270330902974,34.9,0.03544542032622334,85.0,1.1740561896400352,745.0,148.0,893.0,447.0,1657.0,73.0,113.0,9.72,21.69,21.66,46.0,0.9409905163329821,1,71.35
ABB,Mar 2024,20.533424517011454,24.84185330825782,34.9,0.022438496891051634,141.75,1.1263238975544,797.0,416.0,1213.0,565.0,1657.0,73.0,83.0,9.72,21.69,21.66,46.0,1.009991673605329,1,73.94
ABB,TTM,21.183646554566433,25.502802505769868,34.9,,164.72727272727272,,,,,605.0,1657.0,,,9.72,21.69,21.66,46.0,,0,62.33
ADANIENSOL,Mar 2014,,,8.59,0.0,,,0.0,0.0,0.0,0.0,175.0,,0.0,17.85,16.43,14.87,9.0,,0,41.43
ADANIENSOL,Mar 2015,-5.343511450381679,77.09923664122137,8.59,8.95752539242844,1.4246575342465753,0.011399234249912982,-1899.0,1864.0,-35.0,0.0,175.0,0.0,9701.0,17.85,16.43,14.87,9.0,5.0,0,26.13
ADANIENSOL,Mar 2016,16.773017319963536,87.83044667274385,8.59,3.2129491017964074,2.0867293625914316,0.18678699131619275,728.0,816.0,1544.0,3.0,175.0,0.0,8585.0,17.85,16.43,14.87,9.0,4.195652173913044,1,39.81
ADANIENSOL,Mar 2017,14.464534075104313,68.94993045897078,8.59,3.045469969460468,2.2179203539823007,0.22449457497463118,459.0,1730.0,2189.0,4.0,175.0,0.0,8975.0,17.85,16.43,14.87,9.0,5.262019230769231,1,41.37
ADANIENSOL,Mar 2018,28.98073022312373,71.65314401622717,8.59,1.7216443784051512,3.31489841986456,0.22843903851723138,-994.0,3192.0,2198.0,10.0,175.0,0.0,10428.0,17.85,16.43,14.87,9.0,1.9230096237970253,0,37.5
ADANIENSOL,Mar 2019,7.652292950034223,38.02874743326489,8.59,2.50366778565212,2.2386772106398274,0.2243688187235088,-459.0,3050.0,2591.0,5.0,175.0,0.0,20137.0,17.85,16.43,14.87,9.0,4.635062611806798,0,33.55
ADANIENSOL,Mar 2020,6.184302733006307,37.29852838121934,8.59,2.8528062124955875,2.019213583556747,0.2874770214801944,-206.0,5643.0,5437.0,7.0,175.0,0.0,24246.0,17.85,16.43,14.87,9.0,7.701133144475921,0,34.67
ADANIENSOL,Mar 2021,12.996171670360667,39.79447914567802,8.59,3.0378966251821953,2.3925366084081245,0.22958782439746495,-225.0,4009.0,3784.0,11.0,175.0,0.0,27095.0,17.85,16.43,14.87,9.0,2.933333333333333,0,30.99
ADANIENSOL,Mar 2022,10.978859477704743,37.360099484810796,8.59,3.016443054574801,2.3221987315010573,0.23719029158941513,161.0,3936.0,4097.0,11.0,175.0,0.0,29902.0,17.85,16.43,14.87,9.0,3.3147249190938513,1,36.39
ADANIENSOL,Mar 2023,9.636650868878357,33.98781313473256,8.59,2.916843986722274,2.193815174397699,0.24647704516798932,-922.0,4699.0,3777.0,11.0,175.0,0.0,34270.0,17.85,16.43,14.87,9.0,2.9484777517564402,0,29.71
ADANIENSOL,Mar 2024,7.201782380923707,34.38911302462817,8.59,2.93252116130053,2.284784965666787,0.2836960606785336,1095.0,4943.0,6038.0,10.0,175.0,0.0,37070.0,17.85,16.43,14.87,9.0,5.048494983277592,1,39.16
