company_id,sales,net_profit,eps,opm_percentage,net_profit_margin,borrowings,total_assets,debt_ratio,asset_turnover,sales_cagr,profit_cagr,roa,earnings_yield,operating_margin_ratio
LODHA,10316,1554,16.0,26.0,15.063978286157424,7990,47385,16.86187612113538,0.2177060251134325,12.73,14.61,3.279518835074391,0.15509887553315238,26.0
M&M,139078,12270,91.0,18.0,8.82238743726542,116844,255280,45.77091820745848,0.5448057035412096,6.62,10.41,4.806486994672516,0.06543090927393261,18.0
LT,221113,15547,95.0,14.0,7.031246466738726,2326,28761,8.087340495810299,7.68794548172873,10.41,10.29,54.055839504885085,0.04296445708755252,14.0
TATAPOWER,61449,4280,12.0,17.0,6.965125551270159,58314,145130,40.18052780265968,0.4234066009784331,5.76,38.08,2.9490801350513336,0.019528389396084558,17.0
ONGC,591396,57101,39.0,17.0,9.6552901947257,191489,757614,25.27527210426418,0.7806033151446515,12.49,8.2,7.536951534686528,0.006594566077552098,17.0
PIDILITIND,12383,1747,34.0,22.0,14.108051360736493,379,12755,2.9713837710701685,0.9708349666797336,11.67,13.74,13.696589572716581,0.27456997496567875,22.0
LTIM,35517,4585,155.0,18.0,12.90931103415266,2326,28761,8.087340495810299,1.2349014290184626,22.38,21.02,15.941726643718926,0.436410732888476,18.0
MARUTI,141858,13488,429.0,13.0,9.50809964894472,158,121696,0.1298317118064685,1.1656751249013937,11.16,16.69,11.083355245858533,0.3024150911474855,13.0
MOTHERSON,98692,3020,4.0,9.0,3.060025128683176,25417,97879,25.96777654042236,1.0083061739494683,13.17,18.85,3.085442229691762,0.004053013415474405,9.0
TCS,240893,46099,127.0,27.0,19.136712150207767,9046,161124,5.614309475931581,1.495078324768501,12.97,11.39,28.610883543109654,0.052720502463749465,27.0
TATASTEEL,229171,-4910,-4.0,10.0,-2.1425049417247384,99392,280841,35.39084392948323,0.8160168921204525,4.95,,-1.7483202238989322,-0.0017454215411199497,10.0
SHRIRAMFIN,36388,7399,39.0,29.0,20.333626470264925,207820,275087,75.54700876449996,0.1322781520028209,16.15,15.88,2.6896945330022866,0.10717819061228975,29.0
SIEMENS,22240,2718,76.0,14.0,12.221223021582734,279,25299,1.1028103877623625,0.8790861298865568,4.89,9.18,10.743507648523657,0.34172661870503596,14.0
TATACONSUM,15206,1215,12.0,15.0,7.990266999868472,2955,30970,9.54149176622538,0.4909912818856958,6.83,9.56,3.9231514368743947,0.07891621728265158,15.0
